PartitionKey,RowKey,Timestamp,Check1,Check2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,isTurk,clickedPlay,time,correctCount,lyrics,Q12
musictests,gwen1a3bf51e-97d2-4231-939c-8e2cc59301b4,2018-08-07T00:27:02.419Z,A,A,C,E,E,C,A,D,B,A,H,B,A,B,true,true,-263,2,false,
musictests,jamese182dd68-acec-4830-b535-681f846e36bf,2018-08-07T00:34:14.325Z,A,A,C,E,A,E,D,D,A,A,E,A,A,B,true,true,-778,2,true,
musictests,jeremy9487178e-56e0-4385-befb-b136b76f5292,2018-08-07T00:25:39.047Z,A,A,B,C,D,B,B,D,A,A,D,B,A,B,true,true,-402,0,false,
musictests,joe7264a78-db3c-44f4-b65e-d6c4c472cc60,2018-08-07T00:27:13.783Z,A,A,C,B,E,C,B,E,B,B,G,B,A,B,true,true,-442,3,false,
musictests,john40b77902-9f0e-4a4a-84c1-0d647f923367,2018-08-07T00:25:41.427Z,A,A,C,B,A,A,D,D,A,B,E,A,A,B,true,true,-397,4,true,
musictests,katie3c4e20c9-aaba-424c-8194-bcaa9f230c0a,2018-08-07T00:30:00.499Z,A,B,A,C,A,C,A,D,A,A,H,A,A,B,true,true,-556,0,false,
musictests,lindseyde6e796a-07ff-4108-be3c-a9b6a5a14c92,2018-08-07T00:23:51.067Z,A,A,C,A,A,C,B,D,B,A,D,A,A,B,true,true,-260,1,false,
musictests,paulac7026e40-c966-4c8c-be02-78cd30358fd1,2018-08-07T00:48:30.204Z,A,A,C,B,E,D,C,G,B,B,G,A,A,B,true,true,-538,3,false,
musictests,sam7b652537-2a87-42dd-99d3-9d2c0cfac317,2018-08-03T02:05:41.432Z,A,A,C,E,E,A,D,D,B,B,G,secretary,A,,true,true,-182,4,false,B
musictests,samantha m24ae8935-c9ee-4d1d-8927-07d64533b41a,2018-08-07T00:35:58.745Z,A,A,C,B,E,A,D,C,B,B,E,B,A,B,true,true,-208,5,true,
